name,category,price_range,estado,texto_recomendacao_limpo
mix pizza & esfiha,pizza,cheapest,es,mix pizza esfiha pizza cheapest es
s.o.s salgados da vó pirituba,salgados,cheap,sp,s o s salgados da vo pirituba salgados cheap sp
dudu dog - são francisco,lanches,moderate,pr,dudu dog sao francisco lanches moderate pr
cerveja barata e gelada!,bebidas,cheap,pr,cerveja barata e gelada bebidas cheap pr
italy pizza,pizza,cheap,pb,italy pizza pizza cheap pb
shoyu yakisoba delivery,chinesa,cheap,sp,shoyu yakisoba delivery chinesa cheap sp
ops lanches,lanches,cheapest,to,ops lanches lanches cheapest to
kotobuki,japonesa,cheapest,es,kotobuki japonesa cheapest es
dan hamburgueria,lanches,cheapest,sp,dan hamburgueria lanches cheapest sp
hamburgueria evolução,lanches,cheapest,pi,hamburgueria evolucao lanches cheapest pi
ilha da pizza,pizza,moderate,es,ilha da pizza pizza moderate es
yogoblue,sorvetes,cheap,df,yogoblue sorvetes cheap df
donna mary,brasileira,cheapest,sp,donna mary brasileira cheapest sp
gleyce gomes confeitaria artesanal,doces & bolos,cheapest,mg,gleyce gomes confeitaria artesanal doces bolos cheapest mg
quintal do açaí,açaí,cheapest,sp,quintal do acai acai cheapest sp
s.y.m caldos e +,marmita,cheapest,rj,s y m caldos e marmita cheapest rj
sobremesa tapioca e açai,brasileira,cheapest,sp,sobremesa tapioca e acai brasileira cheapest sp
jireh gourmet,brasileira,cheapest,rj,jireh gourmet brasileira cheapest rj
el fuego sanduicheria,lanches,moderate,rj,el fuego sanduicheria lanches moderate rj
keka marmitaria e hamburgaria,brasileira,cheapest,pr,keka marmitaria e hamburgaria brasileira cheapest pr
seu pedaço,pizza,cheapest,sp,seu pedaco pizza cheapest sp
restaurante aeroporto,brasileira,cheapest,sp,restaurante aeroporto brasileira cheapest sp
bendito bolo,doces & bolos,cheapest,sp,bendito bolo doces bolos cheapest sp
bom gosto lanches,lanches,cheapest,sp,bom gosto lanches lanches cheapest sp
gl açaí burguer delivery,açaí,cheapest,mg,gl acai burguer delivery acai cheapest mg
generale via castelli,italiana,most_expensive,sp,generale via castelli italiana most expensive sp
bonomo’s pizza e rostie vargem grande,pizza,cheapest,rj,bonomos pizza e rostie vargem grande pizza cheapest rj
adega rr,bebidas,cheapest,sp,adega rr bebidas cheapest sp
hakuna batata,lanches,cheapest,go,hakuna batata lanches cheapest go
aromas restaurante,marmita,cheapest,sp,aromas restaurante marmita cheapest sp
a casa dos bolos - santa cruz,doces & bolos,cheapest,ba,a casa dos bolos santa cruz doces bolos cheapest ba
bolos meus,doces & bolos,cheapest,pe,bolos meus doces bolos cheapest pe
art burguer,lanches,cheapest,sp,art burguer lanches cheapest sp
rebu pastéis gourmet,lanches,cheapest,rj,rebu pasteis gourmet lanches cheapest rj
são judas churrascaria e restaurante,brasileira,cheapest,se,sao judas churrascaria e restaurante brasileira cheapest se
thai ribeiro confeitaria,doces & bolos,cheapest,rj,thai ribeiro confeitaria doces bolos cheapest rj
andreia malta salgados,salgados,cheapest,mg,andreia malta salgados salgados cheapest mg
marmitex,marmita,cheapest,rj,marmitex marmita cheapest rj
pibs pizzas,pizza,cheapest,ce,pibs pizzas pizza cheapest ce
bebedeira delivery,bebidas,most_expensive,sp,bebedeira delivery bebidas most expensive sp
pizzaria & galeteria petropolis,pizza,cheapest,al,pizzaria galeteria petropolis pizza cheapest al
loucos por pizza,pizza,moderate,am,loucos por pizza pizza moderate am
lanchonete brasileirão,lanches,cheapest,sp,lanchonete brasileirao lanches cheapest sp
nalli doces,doces & bolos,cheapest,mg,nalli doces doces bolos cheapest mg
eliz manfredini confeitaria,açaí,cheapest,rj,eliz manfredini confeitaria acai cheapest rj
saboreas empadas gourmet,lanches,cheapest,pr,saboreas empadas gourmet lanches cheapest pr
lanches 169,lanches,cheapest,mg,lanches 169 lanches cheapest mg
dream cake,doces & bolos,cheapest,al,dream cake doces bolos cheapest al
san burgão,hambúrguer,cheapest,rj,san burgao hamburguer cheapest rj
criativos restaurante,brasileira,cheapest,sp,criativos restaurante brasileira cheapest sp
tennessee,lanches,cheapest,sp,tennessee lanches cheapest sp
churrascaria a gauchinha,marmita,cheapest,rn,churrascaria a gauchinha marmita cheapest rn
adega do marcelão,casa de sucos,cheapest,sp,adega do marcelao casa de sucos cheapest sp
batata delícia,lanches,cheapest,sp,batata delicia lanches cheapest sp
lacre box,lanches,cheapest,rj,lacre box lanches cheapest rj
pizzaria jkm,pizza,cheapest,sp,pizzaria jkm pizza cheapest sp
