name,category,price_range,estado,texto_recomendacao_limpo
mineirice's hamburgueria,hambúrguer,cheapest,sp,mineirice s hamburgueria hamburguer cheapest sp
chef's 4 u comida congelada,congelados,cheap,sp,chef s 4 u comida congelada congelados cheap sp
doce moça brigadeiros gourmet,doces & bolos,cheapest,sp,doce moca brigadeiros gourmet doces bolos cheapest sp
do phone pra fome,lanches,cheapest,sp,do phone pra fome lanches cheapest sp
batataria casa nobre,lanches,cheapest,sp,batataria casa nobre lanches cheapest sp
bi-bi lanches & refeições,lanches,cheapest,sp,bi bi lanches refeicoes lanches cheapest sp
sushi prime,japonesa,cheapest,sp,sushi prime japonesa cheapest sp
delicias da vó marta (pastel & tapiocas),pastel,cheapest,sp,delicias da vo marta pastel tapiocas pastel cheapest sp
candy's mi,doces & bolos,cheapest,sp,candy s mi doces bolos cheapest sp
gislaine kit festa ii,doces & bolos,cheapest,sp,gislaine kit festa ii doces bolos cheapest sp
paezano´s cucina,italiana,cheapest,sp,paezano s cucina italiana cheapest sp
sanduba delivery,lanches,cheapest,sp,sanduba delivery lanches cheapest sp
quitandeiro’s feira delivery,doces & bolos,cheapest,sp,quitandeiros feira delivery doces bolos cheapest sp
shaday,brasileira,cheapest,rj,shaday brasileira cheapest rj
mix conveniência,conveniência,moderate,rj,mix conveniencia conveniencia moderate rj
nalu,brasileira,cheapest,rj,nalu brasileira cheapest rj
